model,FGAccuracy,FGPrecision,FGRecall,FGF1Micro,FGF1Macro,CGAccuracy,CGPrecision,CGRecall,CGF1Micro,CGF1Macro,
SVM,0.602694,0.45073816657607374,0.4483072193907588,0.6026936026936027,0.4437581206018358,0.696970,0.6844080612887892,0.6746811317988565,0.696969696969697,0.6774855212355212
SVM-TRANSF,0.612795,0.4744574646145445,0.4278812593564448,0.6127946127946128,0.4102290537498362,0.684624,0.68977756570254,0.6353566716233481,0.6846240179573513,0.6323399193814843
BERT-FBRO,0.7283950448036194,0.7964959740638733,0.6632996797561646,0.723821222782135,0.46685904264450073,0.8372615039281706,0.8639455782312925,0.7075208913649025,0.8372615039281706,0.824757845848757
BERT-FBRO-OPT,0.7553310990333557,0.7994891405105591,0.7025813460350037,0.7479092478752136,0.49581748247146606,0.8417508417508418,0.8920863309352518,0.6908077994428969,0.8417508417508418,0.8277529083517855
BERT-TRANSF,0.7351,0.7994,0.6218,0.6995,0.4351,0.8318,0.8773,0.6769,0.8316,0.8166
BERT-TRANSF-OPT,0.7553,0.8142,0.6689,0.7344,0.4738,0.8294,0.9027,0.6462,0.8294,0.8114
BERT-CNN-FBRO,0.8237934708595276,0.8397660851478577,0.8058361411094666,0.8224513530731201,0.7107237577438354,0.8810325476992144,0.8990536277602523,0.7938718662952646,0.8810325476992144,0.8736771991397112
BERT-CNN-FBRO-OPT,0.8439955115318298,0.8600237369537354,0.8136925101280212,0.8362168669700623,0.7225987911224365,0.9012345679012346,0.8838526912181303,0.8690807799442897,0.9012345679012346,0.89708075186390851
BERT-CNN-TRANSF,0.7800224423408508,0.8213399648666382,0.7429854273796082,0.7802003622055054,0.6434744596481323,0.8866442199775533,0.910828025477707,0.7966573816155988,0.8866442199775533,0.8794263335106389
BERT-CNN-TRANSF-OPT,0.8193041682243347,0.8429256677627563,0.7890011072158813,0.8150724768638611,0.7054104804992676,0.8922558922558923,0.9046153846153846,0.8189415041782729,0.8922558922558923,0.8861087144089732
